guest_id,spa_affinity_score,adventure_affinity_score,culture_affinity_score,dining_affinity_score,travel_type,budget_segment,stay_duration_days,weather_condition,temparature,rain_probability,event_category,event_popularity_score,event_indoor_flag,attraction_rating,seasonal_tourism_index,weather_activity_match,event_preference_alignment,overall_experience_score,recommended_experience
1,0.16,0.85,0.87,1,Business,Luxury,8,Cloudy,27,63,Food Carnival,50,1,3.7,5,0.84,0.81,39,Adventure Trek
2,0.57,0.41,0.59,0,Business,Mid-range,9,Snowy,15,97,Wellness Expo,61,1,3.9,21,0.74,0.84,82,Indoor Wellness Retreat
3,0.27,0.05,0.04,0,Business,Luxury,3,Rainy,29,26,Cultural Fair,95,0,4.8,20,0.2,0.97,55,Adventure Trek
4,0.53,0.42,0.4,1,Family,Budget,3,Sunny,12,45,Sports Event,24,1,3.5,85,0.96,0.07,13,City Tour
5,0.47,0.14,0.99,1,Couple,Luxury,2,Rainy,11,81,Food Carnival,61,1,3.7,13,0.16,0.56,55,Cultural Museum Visit
6,0.5,0.22,0.3,0,Solo,Luxury,12,Rainy,36,99,Sports Event,3,1,3.9,29,0.55,0.43,46,City Tour
7,0.64,0.75,0.19,0,Couple,Luxury,12,Sunny,30,36,Wellness Expo,39,0,3.7,61,0.25,0.82,3,Food Experience
8,0.67,0.83,0.6,0,Business,Mid-range,11,Snowy,22,74,Wellness Expo,30,1,3.9,46,0.3,0.82,32,Indoor Wellness Retreat
9,0.6,0.7,0.84,0,Couple,Budget,3,Snowy,37,21,Sports Event,48,1,4.2,68,0.57,0.54,49,Food Experience
10,0.19,0.91,0.04,0,Business,Luxury,13,Cloudy,38,65,Food Carnival,13,0,4.7,83,0.64,0.4,74,Adventure Trek
11,0.75,0.55,0.78,1,Couple,Mid-range,10,Rainy,17,5,Sports Event,53,0,4.9,92,0.68,0.85,54,Cultural Museum Visit
12,0.17,0.86,0.73,1,Couple,Luxury,11,Sunny,18,28,Sports Event,71,1,4.9,52,0.47,0.4,56,Indoor Wellness Retreat
13,0.85,0.97,0.28,1,Business,Mid-range,9,Sunny,28,78,Music Festival,24,1,3.8,41,0.05,0.28,85,Cultural Museum Visit
14,0.15,0.27,0.69,0,Business,Budget,10,Cloudy,11,94,Music Festival,64,0,4.9,63,0.44,0.72,73,Food Experience
15,0.76,0.68,0.06,0,Solo,Budget,1,Snowy,29,88,Food Carnival,97,1,4.8,27,0.59,0.9,76,Food Experience
16,0.12,0.24,0.44,0,Solo,Luxury,3,Rainy,31,50,Food Carnival,38,1,3.7,82,0.36,0.01,73,Spa Package
17,0.76,0.57,0.11,0,Business,Mid-range,9,Sunny,18,96,Cultural Fair,64,1,4.6,80,0.39,0.95,5,City Tour
18,0.37,0.88,0.46,1,Business,Budget,8,Cloudy,33,5,Music Festival,91,0,3.9,83,0.97,0.13,58,Food Experience
19,0.93,0.85,0.6,1,Family,Budget,12,Snowy,25,50,Music Festival,72,1,4.8,96,0.92,0.36,88,Adventure Trek
20,0.04,0.69,0.68,0,Couple,Mid-range,2,Snowy,12,6,Wellness Expo,89,0,3.8,68,0.37,0.5,57,Cultural Museum Visit
21,0.14,0.36,0.9,0,Business,Luxury,1,Cloudy,10,48,Music Festival,79,1,4.8,91,0.69,0.28,96,Cultural Museum Visit
22,0.08,0.92,0.78,1,Family,Luxury,4,Sunny,32,76,Cultural Fair,36,0,4.8,32,0.49,0.01,20,Spa Package
23,0.02,0.4,0.37,1,Solo,Mid-range,13,Cloudy,10,56,Music Festival,37,1,3.6,84,0.61,0.06,98,Adventure Trek
24,0.68,0.69,0.89,1,Couple,Budget,8,Snowy,33,33,Wellness Expo,82,0,4.7,24,0.52,0.59,75,Spa Package
25,0.98,0.14,0.01,0,Family,Luxury,2,Rainy,25,44,Sports Event,26,0,3.9,85,0.58,0.41,93,Indoor Wellness Retreat
26,0.7,0.21,0.03,0,Solo,Mid-range,4,Snowy,13,72,Food Carnival,57,0,4.5,33,0.84,0.96,84,Indoor Wellness Retreat
27,0.59,0.7,0.93,0,Business,Budget,14,Sunny,20,69,Wellness Expo,94,0,4.1,66,0.48,0.96,65,Adventure Trek
28,0.42,0.97,0.28,1,Solo,Luxury,5,Cloudy,26,88,Cultural Fair,59,0,4.8,6,0.56,0.12,64,Cultural Museum Visit
